id,başlık,açıklama,kategori,öncelik,durum,tarih
1,L-Pack ERP Sistemi Kurulumu,Yeni L-Pack ERP sisteminin kurulumu ve yapılandırması hakkında detaylı bilgi,Sistem Kurulumu,Yüksek,Tamamlandı,2024-01-15
2,Veritabanı Bağlantı Sorunu,Kullanıcılar veritabanına bağlanırken hata alıyor. Hata mesajı: "Connection timeout",Teknik Destek,Kritik,Açık,2024-01-16
3,Stok Modülü Raporlama,Stok modülünde raporların doğru çalışmaması ve eksik veri gösterimi sorunu,Modül Sorunu,Orta,İnceleniyor,2024-01-17
4,Kullanıcı Yetkilendirme,Yeni kullanıcılar için yetkilendirme ayarlarının yapılması gerekiyor,Güvenlik,Düşük,Beklemede,2024-01-18
5,Fatura Yazdırma Hatası,Fatura yazdırma işleminde sayfa düzeni bozuluyor ve bilgiler eksik görünüyor,Yazdırma Sorunu,Yüksek,Açık,2024-01-19
6,Performans Optimizasyonu,Sistem yavaşlığı ve yanıt sürelerinin uzun olması sorunu,Performans,Kritik,Planlanıyor,2024-01-20
7,Yedekleme Sistemi,Yedekleme işlemlerinin otomatik olarak çalışmaması ve manuel müdahale gerektirmesi,Yedekleme,Orta,Tamamlandı,2024-01-21
8,Entegrasyon Sorunu,Üçüncü parti yazılımlarla entegrasyon sırasında veri kaybı yaşanıyor,Entegrasyon,Yüksek,Açık,2024-01-22
9,Kullanıcı Eğitimi,Yeni modüller için kullanıcı eğitimlerinin planlanması ve düzenlenmesi,Eğitim,Düşük,Beklemede,2024-01-23
10,Güvenlik Güncellemesi,Sistem güvenlik açıklarının kapatılması ve güncellemelerin yapılması,Güvenlik,Kritik,Tamamlandı,2024-01-24 
